id,year,best_picture,song,us_pres,census,super_bowl,world_series
28,1987," ""Platoon""","""That's What Friends Are For"" - Dionne Warwick & Friends",Ronald Reagan,242.29 million,"New York Giants 39, Denver 20","Minnesota 4, St. Louis 3"
29,1988," ""The Last Emperor""","""Somewhere Out There"" - Linda Rondstadt & James Ingram",Ronald Reagan,244.50 million,"Washington 42, Denver 10","Los Angeles 4, Oakland 1"
30,1989," ""Rain Man""","""Don't Worry Be Happy"" - Bobby McFerrin",George H. W. Bush,246.82 million,"San Francisco 20, Cincinnati 16","Oakland 4, San Francisco 0"
31,1990," ""Driving Miss Daisy""","""Wind Beneath My Wings"" - Better Midler",George H. W. Bush,249.62 million,"San Francisco 55, Denver 10","Cincinnati 4, Oakland 0"
32,1991," ""Dances With Wolves""","""From a Distance"" - Better Midler",George H. W. Bush,252.98 million,"New York Giants 20, Buffalo 19","Minnesota 4, Atlanta 3"
33,1992," ""The Silence of the Lambs""","""Unforgettable"" - Natalie Cole",George H. W. Bush,256.51 million,"Washington 37, Buffalo 24","Toronto 4, Atlanta 2"
34,1993," ""Unforgiven""","""Tears in Heaven"" - Eric Clapton",Bill Clinton,259.92 million,"Dallas 52, Buffalo 17","Toronto 4, Philadelphia 2"
35,1994," ""Schindler's List""","""A Whole New Worlds"" - Peabo Bryson and Regina Belle",Bill Clinton,263.13 million,"Dallas 30, Buffalo 13",Not Held
36,1995," ""Forrest Gump""","""Streets of Philadelphia"" - Bruce Springsteen",Bill Clinton,266.28 million,"San Francisco 49, San Diego 26","Atlanta 4, Cleveland 2"
37,1996," ""Braveheart""","""Kiss from a Rose"" - Seal",Bill Clinton,269.39 million,"Dallas 27, Pittsburgh 17","NY Yankees 4, Atlanta 2"
38,1997," ""The English Patient""","""Change the World"" - Eric Clapton",Bill Clinton,272.65 million,"Green Bay 35, New England 21","Florida 4, Cleveland 3"
39,1998," ""Titanic""","""Sunny Came Home"" - Shawn Colvin",Bill Clinton,275.85 million,"Denver 31, Green Bay 24","NY Yankees 4, San Diego 0"
40,1999," ""Shakespeare in Love""","""My Heart Will Go On"" - Celine Dion",Bill Clinton,279.04 million,"Denver 34, Atlanta 19","NY Yankees 4, Atlanta 0"
41,2000," ""American Beauty""","""Smooth"" - Santana featuring Rob Thomas",Bill Clinton,282.16 million,"St. Louis 23, Tennessee 16","NY Yankees 4, NY Mets 1"
42,2001," ""Gladiator""","""Beautiful Day"" - U2",George W. Bush,284.97 million,"Baltimore 34, New York Giants 7","Arizona 4, NY Yankees 3"
43,2002," ""A Beautiful Mind""","""Fallin"" - Alicia Keys",George W. Bush,287.63 million,"New England 20, St. Louis 17","Anaheim 4, San Francisco 3"
44,2003," ""Chicago""","""Don't Know Why"" - Norah Jones",George W. Bush,290.11 million,"Tampa Bay 48, Oakland 21","Florida 4, NY Yankees 2"
45,2004," ""The Lord of the Rings: The Return of the King""","""Dance with My Father"" - Luther Vandross",George W. Bush,292.81 million,"New England 32, Carolina 29","Boston 4, St. Louis 0"
46,2005," ""Million Dollar Baby""","""Daughters"" - John Mayer",George W. Bush,295.52 million,"New England 24, Philadelphia 21","Chi. White Sox 4, Houston 0"
47,2006," ""Crash""","""Sometimes You Can't Make It Own Your Own"" - U2",George W. Bush,298.38 million,"Pittsburgh 21, Seattle 10","St. Louis 4, Detroit 1"
48,2007," ""The Departed""","""Not Ready to Make Nice"" - Dixie Chicks",George W. Bush,301.23 million,"Indianapolis 29, Chicago 17","Boston 4, Colorado 0"
49,2008," ""No Country for Old Men""","""Rehab"" - Amy Winehouse",George W. Bush,304.09 million,"New York Giants 17, New England 14","Philadelphia 4, Tampa Bay 1"
50,2009," ""Slumdog Millionaire""","""Viva la Vida"" - Coldplay",Barack Obama,306.77 million,"Pittsburgh Steelers 27, Arizona Cardinals 23","Yankees 4, Phillies 2"
51,2010," ""The Hurt Locker""","""Single Ladies"" - Beyonce",Barack Obama,309.34 million,"New Orleans Saints 31, Indianapolis Colts 17","Giants 4, Rangers 1"
52,2011," ""The King's Speech""","""Need You Now"" - Lady Antebellum",Barack Obama,311.64 million,"Green Bay Packers 31, Pittsburgh Steelers 25","Cardinals 4, Rangers 3"
53,2012," ""The Artist""","""Rolling in the Deep"" - Adele",Barack Obama,313.99 million,"New York Giants 21, New England Patriots 17","Giants 4, Tigers 0"
54,2013," ""Argo""","""We are Young"" - Fun",Barack Obama,316.23 million,"Baltimore Ravens 34, San Francisco 49ers 31","Red Sox 4, Cardinals 2"
55,2014," ""12 Years a Slave""","""Royals"" - Lorde",Barack Obama,318.62 million,"Seattle Seahawks 43, Denver Broncos 8","Giants 4, Royals 3"
56,2015," ""Birdman""","""Stay with Me"" - Sam Smith",Barack Obama,321.04 million,"New England Patriots 28, Seattle Seahawks 24","Royals 4, Mets 1"
57,2016," ""Spotlight""","""Thinking Out Loud"" - Ed Sheeran",Barack Obama,323.41 million,"Denver Broncos 24, Carolina Panthers 10","Cubs 4, Indians 3"
58,2017,"""Moonlight""","""Hello"" - Adele",Donald Trump,325.72 million,"New England Patriots 34, Atlanta Falcons 28","Astros 4, Dodgers 3"
59,2018,"""The Shape of Water""","""That's What I Like"" - Bruno Mars",Donald Trump,326.97 million,"Philadelphia Eagles 41, New England Patriots 33",TBD
